palatable,height,color,family,name
False,0.762,Yellow,Poaceae,Ammophila breviligulata
False,1.2192,Purple,Fabaceae,Amorpha canescens
False,4.572,Purple,Fabaceae,Amorpha fruticosa
False,4.8768,Purple,Fabaceae,Amorpha glabra
False,0.6096,White,Vitaceae,Ampelopsis cordata
False,0.9144000000000001,Yellow,Boraginaceae,Amsinckia lycopsoides
True,4.8768,White,Rutaceae,Amyris elemifera
False,0.9144000000000001,Green,Bromeliaceae,Ananas comosus
False,0.9144000000000001,Yellow,Asteraceae,Anaphalis margaritacea
False,27.432000000000002,White,Fabaceae,Andira inermis
False,1.9812,Yellow,Poaceae,Andropogon gerardii
False,1.92024,White,Poaceae,Andropogon glomeratus
False,1.9507200000000002,Yellow,Poaceae,Andropogon hallii
False,1.18872,Green,Poaceae,Andropogon ternarius
False,0.9144000000000001,Yellow,Poaceae,Andropogon virginicus
False,0.6096,Yellow,Ranunculaceae,Anemone multifida
False,0.45720000000000005,White,Saururaceae,Anemopsis californica
False,1.8288000000000002,White,Apiaceae,Angelica arguta
True,1.3716000000000002,Red,Acanthaceae,Anisacanthus thurberi
True,3.048,Yellow,Annonaceae,Annona glabra
True,6.096,Yellow,Annonaceae,Annona squamosa
False,0.762,White,Asteraceae,Antennaria anaphaloides
False,0.3048,White,Asteraceae,Antennaria corymbosa
False,0.09144000000000001,Purple,Asteraceae,Antennaria dimorpha
False,0.6096,White,Asteraceae,Antennaria luzuloides
False,0.3048,White,Asteraceae,Antennaria microphylla
False,0.3048,Red,Asteraceae,Antennaria neglecta
True,0.3048,Purple,Fabaceae,Apios americana
False,1.00584,White,Apocynaceae,Apocynum cannabinum
False,0.9144000000000001,Red,Ranunculaceae,Aquilegia formosa
False,0.9144000000000001,Purple,Brassicaceae,Arabis ×divaricarpa
False,0.6096,White,Brassicaceae,Arabis drummondii
False,0.6096,Purple,Brassicaceae,Arabis holboellii
False,0.39624000000000004,Yellow,Fabaceae,Arachis hagenbeckii
False,0.45720000000000005,White,Araliaceae,Aralia nudicaulis
False,6.096,White,Araliaceae,Aralia spinosa
False,9.144,White,Ericaceae,Arbutus arizonica
False,24.384,White,Ericaceae,Arbutus menziesii
False,0.54864,Yellow,Poaceae,Arctagrostis latifolia
False,0.6096,Brown,Poaceae,Arctophila fulva
True,0.1524,Yellow,Ericaceae,Arctostaphylos alpina
False,1.8288000000000002,White,Ericaceae,Arctostaphylos columbiana
False,5.486400000000001,White,Ericaceae,Arctostaphylos glauca
False,2.4384,White,Ericaceae,Arctostaphylos manzanita
False,0.6096,White,Ericaceae,Arctostaphylos nevadensis
False,1.8288000000000002,White,Ericaceae,Arctostaphylos patula
False,3.6576000000000004,White,Ericaceae,Arctostaphylos pungens
False,0.1524,Purple,Ericaceae,Arctostaphylos uva-ursi
False,0.18288000000000001,White,Papaveraceae,Argemone pleiacantha ssp. pinnatisecta
False,0.9144000000000001,White,Papaveraceae,Argemone polyanthemos
False,0.1524,Yellow,Rosaceae,Argentina anserina
False,0.45720000000000005,White,Araceae,Arisaema triphyllum
False,0.6096,Yellow,Poaceae,Aristida arizonica
False,0.39624000000000004,Yellow,Poaceae,Aristida divaricata
False,0.42672,Yellow,Poaceae,Aristida purpurea var. longiseta
False,1.18872,Green,Poaceae,Aristida stricta
False,0.27432,Purple,Plumbaginaceae,Armeria maritima
False,0.39624000000000004,Yellow,Asteraceae,Arnica ×diversifolia
False,0.762,Yellow,Asteraceae,Arnica amplexicaulis
False,0.762,Yellow,Asteraceae,Arnica chamissonis
False,0.45720000000000005,Yellow,Asteraceae,Arnica cordifolia
False,0.3048,Yellow,Asteraceae,Arnica frigida
False,0.6096,Yellow,Asteraceae,Arnica fulgens
False,0.6096,Yellow,Asteraceae,Arnica latifolia
False,0.6096,Yellow,Asteraceae,Arnica longifolia
False,0.6096,Yellow,Asteraceae,Arnica mollis
False,1.2192,Yellow,Poaceae,Arrhenatherum elatius
False,0.6096,White,Asteraceae,Artemisia arbuscula
False,1.524,Yellow,Asteraceae,Artemisia cana
False,0.6096,White,Asteraceae,Artemisia frigida
False,1.2192,Yellow,Asteraceae,Artemisia furcata var. heterophylla
False,0.6096,White,Asteraceae,Artemisia ludoviciana
False,0.6096,Brown,Asteraceae,Artemisia nova
False,0.6096,White,Asteraceae,Artemisia rigida
True,10.972800000000001,Yellow,Asteraceae,Artemisia tilesii
False,1.2192,Yellow,Asteraceae,Artemisia tridentata
False,2.7432000000000003,Green,Asteraceae,Artemisia tridentata ssp. tridentata
False,0.9144000000000001,Yellow,Asteraceae,Artemisia tridentata ssp. wyomingensis
False,1.2192,Green,Asteraceae,Artemisia tripartita
False,1.4935200000000002,Red,Asclepiadaceae,Asclepias incarnata
False,1.8288000000000002,White,Asclepiadaceae,Asclepias speciosa
False,0.6096,Orange,Asclepiadaceae,Asclepias tuberosa
True,7.62,Purple,Annonaceae,Asimina triloba
False,0.09144000000000001,White,Asteraceae,Aster alpinus
False,0.3048,Purple,Fabaceae,Astragalus agrestis
False,0.1524,White,Fabaceae,Astragalus canadensis
False,0.6096,White,Fabaceae,Astragalus cicer
False,0.12192000000000001,Yellow,Fabaceae,Astragalus curvicarpus
False,0.6096,White,Fabaceae,Astragalus filipes
False,0.42672,Yellow,Fabaceae,Astragalus lentiginosus
False,0.6096,Purple,Fabaceae,Astragalus mollissimus var. mollissimus
False,0.18288000000000001,White,Fabaceae,Astragalus purshii
False,0.9144000000000001,Yellow,Chenopodiaceae,Atriplex ×aptera
False,2.4384,Yellow,Chenopodiaceae,Atriplex canescens
False,0.9144000000000001,Yellow,Chenopodiaceae,Atriplex confertifolia
False,0.6096,Yellow,Chenopodiaceae,Atriplex falcata
False,1.2192,Yellow,Chenopodiaceae,Atriplex gardneri
False,3.048,Yellow,Chenopodiaceae,Atriplex lentiformis
False,2.7432000000000003,Yellow,Chenopodiaceae,Atriplex nummularia
False,1.8288000000000002,Yellow,Chenopodiaceae,Atriplex polycarpa
False,0.1524,Yellow,Chenopodiaceae,Atriplex semibaccata
False,1.2192,Yellow,Poaceae,Avena fatua
True,0.6096,Yellow,Poaceae,Avena sativa
False,9.144,White,Verbenaceae,Avicennia germinans
False,0.3048,White,Poaceae,Axonopus compressus
False,3.9624,White,Asteraceae,Baccharis angustifolia
False,3.048,White,Asteraceae,Baccharis halimifolia
False,0.9144000000000001,Yellow,Asteraceae,Baccharis pilularis
False,3.048,Yellow,Asteraceae,Baccharis salicifolia
False,3.6576000000000004,Yellow,Asteraceae,Baccharis sarothroides
False,0.030480000000000004,White,Scrophulariaceae,Bacopa rotundifolia
True,0.762,Yellow,Asteraceae,Balsamorhiza careyana
True,0.3048,Yellow,Asteraceae,Balsamorhiza hookeri
True,0.33528,Yellow,Asteraceae,Balsamorhiza hookeri var. hirsuta
True,0.6096,Yellow,Asteraceae,Balsamorhiza macrophylla
False,0.6096,Yellow,Asteraceae,Balsamorhiza sagittata
False,0.3048,Yellow,Asteraceae,Balsamorhiza serrata
False,15.24,Brown,Poaceae,Bambusa vulgaris
False,0.762,Yellow,Fabaceae,Baptisia tinctoria
False,0.24384000000000003,Green,Chenopodiaceae,Bassia hyssopifolia
False,0.030480000000000004,Green,Bataceae,Batis maritima
False,0.9144000000000001,Yellow,Poaceae,Beckmannia syzigachne
False,1.8288000000000002,Yellow,Berberidaceae,Berberis fendleri
False,1.8288000000000002,Yellow,Berberidaceae,Berberis thunbergii
False,1.2192,Yellow,Asteraceae,Berlandiera lyrata
False,0.85344,White,Apiaceae,Berula erecta
True,22.86,Yellow,Betulaceae,Betula alleghaniensis
False,18.288,Yellow,Betulaceae,Betula lenta
False,0.9144000000000001,Green,Betulaceae,Betula nana
False,21.336000000000002,Brown,Betulaceae,Betula nigra
False,7.62,Yellow,Betulaceae,Betula occidentalis
True,21.336000000000002,Yellow,Betulaceae,Betula papyrifera
False,18.288,Brown,Betulaceae,Betula pendula
False,7.62,Brown,Betulaceae,Betula populifolia
False,6.096,Yellow,Betulaceae,Betula pumila
False,1.0668,Yellow,Asteraceae,Bidens aristosa
False,0.9753600000000001,Yellow,Asteraceae,Bidens cernua
False,0.9753600000000001,Yellow,Asteraceae,Bidens connata
False,1.0363200000000001,Yellow,Asteraceae,Bidens coronata
False,1.5849600000000001,Yellow,Asteraceae,Bidens discoidea
False,1.2192,Yellow,Asteraceae,Bidens frondosa
False,1.00584,Yellow,Asteraceae,Bidens laevis
False,1.0668,Yellow,Asteraceae,Bidens mitis
False,1.0668,Yellow,Asteraceae,Bidens tripartita
